property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
b1a2d3ec384f692a6530e4b0413f97f5,szczecin,53.4032593,14.5198134,2.0,48.0,4.0,4.0,blockOfFlats,1980.0,3.53,sale,449000
a0eb0d2a179f9aed9769379cfa8e9527,szczecin,53.432222,14.555833,2.0,41.0,4.0,4.0,tenement,1930.0,1.04,sale,330000
cbab73ba0e7bb83fee14981f67502697,szczecin,53.4559,14.5391,3.0,45.5,2.0,4.0,blockOfFlats,1980.0,3.89,sale,499000
e6f36d5745d403f277c3bec8514a620d,szczecin,53.4544245,14.5627738,4.0,65.25,1.0,12.0,blockOfFlats,1985.0,3.45,sale,685000
ec46a1c73592ebb598a23acd7f7467b9,szczecin,53.43157,14.61499,2.0,57.36,2.0,4.0,apartmentBuilding,2003.0,3.69,sale,690000
4b56a8946cc72c82e86407854bf03a02,szczecin,53.4308502,14.5446846,5.0,124.8,2.0,4.0,tenement,1900.0,1.36,sale,830800
bd0b1bcb8276dae5677c55a7d7dfc900,szczecin,53.4308502,14.5446846,3.0,95.23,3.0,4.0,tenement,1900.0,1.36,sale,636500
7e9c400c1c819184276c31decb7e7362,szczecin,53.4308502,14.5446846,4.0,105.4,3.0,4.0,tenement,1900.0,1.36,sale,703500
20cf57c55946d853fed7aa72e8e86ab7,szczecin,53.4772951,14.5412244,4.0,89.08,2.0,2.0,blockOfFlats,2018.0,6.13,sale,849000
21008742c868a7f4d7cd8dcea37b1161,szczecin,53.4312283,14.56394832,2.0,62.37,2.0,3.0,tenement,1930.0,0.89,sale,539000
a7330a658f046f639fee1085a37eb015,szczecin,53.453566,14.474175,4.0,57.0,2.0,3.0,blockOfFlats,2000.0,6.66,sale,610000
0b32fdc527ecdd58a52c95571873bf62,szczecin,53.43226655,14.54053887,5.0,125.54,1.0,4.0,tenement,1936.0,1.67,sale,999000
b5ce18c5c9f460538e36773845d4637c,szczecin,53.4308373,14.5419351,2.0,38.7,1.0,4.0,tenement,1920.0,1.51,sale,460000
36a6cac5e19ce74909a0379ae82b74fb,szczecin,53.4368668,14.5530096,2.0,45.34,2.0,27.0,apartmentBuilding,2022.0,1.59,sale,750000
fb6f5f39a3190a74bedf7bfef7d94845,szczecin,53.4529578,14.47325005,4.0,57.7,2.0,3.0,blockOfFlats,2001.0,6.68,sale,610000
cb290df2fd3935acb358657f9669c117,szczecin,53.41485673,14.54063414,1.0,30.2,3.0,6.0,blockOfFlats,2018.0,1.65,sale,445000
f3b3ce0c557b0f11b7cfdaa484caef35,szczecin,53.49572043,14.59880447,3.0,76.6,1.0,2.0,apartmentBuilding,2017.0,8.42,sale,899000
